price,address,area,bedrooms,toilets,floors,other_features
,,,,,,
,,,,,,
,,,,,,
,"trung tâm Quận 5, sát Quận 1, Quận 10.",,,,2.0,
,,,,,,
,,,4.0,,,
,,,,,3.0,
,"khá Vị trí, đường số 9, nằm giữa Ql1k và đường số 11, đi lại khắp nơi.",,3.0,,,
130.0,,425.0,,,6.0,
,"sát đường Phạm Văn Đồng, chợ Thủ Đức, con đường kinh doanh sầm uất, đa ngành nghề.",180.0,,,,
,nhà nằm gần trường cấp 2 Tứ Liên.,,4.0,,4.0,"4 tầng, cầu thang giữa mỗi tầng có 2 phòng, vệ sinh. Tổng có 4 phòng ngủ. Tầng 4 là phòng thời, khu giặt giũ, sân phơi."
,"nằm cách mặt phố 1 nhà, lõi Ba Đình, tiện ích ngập tràn, tuyến phố đẹp nhất Quận, vài bước chân ra Lotte, khách sạn Daewoo. Khu vực tập trung rất nhiều người Hàn Quốc, Nhật Bản sinh sống và làm việc.",,,,,
,"TT Quận 11, Trục Đường 32, MTKD đỉnh, Cho thuê thu nhập 100tr.th.",,,,,
5.95,,,,,6.0,"6 tầng, mỗi tầng 1 phòng khép kín"
,,,,,,
,,54.0,,,3.0,
,"khu vực kinh doanh sầm uất, tấp nập. Thích hợp xây cao ốc, văn phòng, khách sạn, showroom hoặc kinh doanh buôn bán .",,,,,
,,75.0,,,4.0,
,"Gần ngã tư bến cá,ngay hồ câu Quốc Thịnh. Cách đường hương lộ 7 khoảng 100m",,3.0,,,
,,75.0,,,,
,"trung tâm quận Đống Đa ngõ thông tứ tung, di chuyển đi đâu cũng tiện, an ninh cực tốt.",,,,4.0,
,,,,,,
,,,,,3.0,
,,37.0,,,,
,,30.0,,,5.0,
,,,,,,
,đẹp rất nhiều nhà hàng khách sạn các tiện ích đầy đủ không thiếu thứ gì.,,,,6.0,
,,,,,4.0,
16.0,"cực đẹp, nhà phố riêng biệt nằm trong khu Biệt Thự cao cấp Q2 nên rất an ninh.",,,,,
,"giao thông thuận tiện,dịch vụ tiện ích đầy đủ, gần trường học các cấp, gần chợ, đại học....",,3.0,,,
,"Khu VIP trung tâm Ba Đình, ngõ to rộng ô tô ra vào thoải mái, nhà cách ô tô dừng đỗ 70m, cách mặt phố 150m, 500m ngay LOTTE Liễu Giai, Hồ Tây hóng gió.",,,,5.0,
,,,1.0,,,
,,,,,,
,"gần trường học  mầm non, gần chợ, gần siêu thị,....",55.3,,,,
,,,,,,
15.8,"gần công viên Cao Đức Lân, tiện di chuyển, thích hợp làm văn phòng hay ở",,,,,
,,138.0,,,,
,,57.0,,,4.0,
,"giao thông thuận tiện tương lai tuyến Mettro đi qua, chợ vải Tân Bình, Quận 10 Quận 3 Quận 1 kế",,,,,
,,,,,,
,,31.0,,,3.0,
,,36.0,,,4.0,
,,80.0,,,,
,"như trên hình, vừa đất, vừa nhà mà giá chỉ từ 1,9 tỷcăn, bao gồm",,,,,
,,,,,,
,,,,,,
,,,,,4.0,
