No,Price,Area,Bedrooms,WCs,District,Floors,Legal_status,Frontage,Price_per_sqm,District_encoded,Month
1,13.5,44.0,3.0,3.0,quan-1,5.0,-1.0,1.0,0.31,0,11
2,8.7,45.0,3.0,3.0,quan-1,4.0,1.0,0.0,0.19,0,11
3,9.3,40.0,4.0,4.0,quan-1,4.0,1.0,0.0,0.23,0,11
4,15.0,151.69,5.0,4.0,quan-1,3.0,-1.0,1.0,0.1,0,10
5,16.0,151.69,5.0,4.0,quan-1,3.0,-1.0,1.0,0.11,0,10
6,11.0,54.0,3.0,3.0,quan-1,3.0,-1.0,0.0,0.2,0,10
7,18.0,88.0,6.0,6.0,quan-1,2.0,-1.0,-1.0,0.2,0,10
8,4.8,28.0,3.0,3.0,quan-1,3.0,1.0,1.0,0.17,0,8
9,13.0,93.0,6.0,6.0,quan-1,5.0,-1.0,0.0,0.14,0,8
10,5.8,25.0,4.0,2.0,quan-1,4.0,-1.0,0.0,0.23,0,8
11,13.0,155.0,6.0,5.0,quan-1,5.0,-1.0,0.0,0.08,0,6
12,16.5,90.0,5.0,6.0,quan-1,5.0,1.0,0.0,0.18,0,6
13,15.5,90.0,12.0,12.0,quan-1,5.0,1.0,-1.0,0.17,0,6
14,18.0,275.0,12.0,12.0,quan-1,6.0,1.0,-1.0,0.07,0,6
15,12.0,100.0,2.0,2.0,quan-1,5.0,1.0,-1.0,0.12,0,6
16,15.5,70.0,8.0,8.0,quan-1,4.0,1.0,-1.0,0.22,0,6
17,6.5,46.0,2.0,2.0,quan-1,2.0,-1.0,1.0,0.14,0,6
18,4.52,55.0,2.0,2.0,quan-1,2.0,-1.0,-1.0,0.08,0,6
19,16.0,72.0,4.0,5.0,quan-1,4.0,1.0,-1.0,0.22,0,5
20,4.8,151.69,3.0,2.0,quan-1,2.0,-1.0,-1.0,0.03,0,5
21,5.25,31.0,3.0,3.0,quan-1,3.0,-1.0,-1.0,0.17,0,4
22,5.4,45.0,3.0,2.0,quan-1,3.0,1.0,0.0,0.12,0,3
23,13.8,30.5,4.0,2.0,quan-1,3.0,-1.0,1.0,0.45,0,3
24,10.0,65.0,2.0,3.0,quan-1,4.0,-1.0,0.0,0.15,0,3
25,2.55,14.0,2.0,2.0,quan-1,2.0,1.0,0.0,0.18,0,3
